일련번호,종류,의료기관명,도로명주소,전화번호,위도,경도,동구분
358,한의원,송도세명한의원,"인천광역시 연수구 인천타워대로54번길 15-5, 301호 (송도동, 송도북일프라자)",032-435-9700,126.6460209,37.37940227,송도동
359,한의원,아이누리한의원,"인천광역시 연수구 송도국제대로 157, 오네스타 401호, 402호 (송도동)",032-464-8575,126.656664,37.38094155,송도동
360,한의원,건강드림한의원,"인천광역시 연수구 송도문화로28번길 28, 204동 202호 (송도동, 글로벌캠퍼스푸르지오상가)",032-463-7588,126.6558312,37.3770832,송도동
361,한의원,인천송도 더율한의원,인천광역시 연수구 컨벤시아대로 81 (송도동),032-215-1075,126.6501653,37.39494268,송도동
362,한의원,아레나한의원,"인천광역시 연수구 해돋이로151번길 4, 304호 (송도동)",032-721-7580,126.6460059,37.39401677,송도동
363,한의원,동풍한의원,"인천광역시 연수구 앵고개로264번길 30-3 (동춘동,영창빌딩 3층)",032-812-5003,126.6714993,37.40669546,동춘동
364,한의원,메디컬오한의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 506-509호 (송도동)",032-721-7878,126.6421469,37.38419018,송도동
365,한의원,자윤한의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 607호 (송도동)",032-721-8200,126.64915,37.39716984,송도동
366,한의원,정기용한의원,"인천광역시 연수구 앵고개로246번길 10, 303호 (동춘동, 대산프라자)",032-812-5252,126.6706046,37.40841618,동춘동
367,한의원,자연한의원,"인천광역시 연수구 송도문화로28번길 28, 203동 215호 (송도동, 송도글로벌캠퍼스푸르지오)",032-719-7582,126.6558312,37.3770832,송도동
368,한의원,연수백세한의원,"인천광역시 연수구 원인재로 310, 경남아파트 상가 (연수동)",032-813-1275,126.6939161,37.42103687,연수동
369,한의원,김종욱한의원,"인천광역시 연수구 원인재로 88, 201호 (동춘동, 대우삼환아파트상가)",032-812-8048,126.6800838,37.40699507,동춘동
370,한의원,박정식한의원,"인천광역시 연수구 앵고개로 262, 3층 303호 (동춘동, 동경빌딩)",032-813-0074,126.6725576,37.40749426,동춘동
371,한의원,맑은샘한의원,"인천광역시 연수구 용담로 153, 402호 (연수동, 대동월드스포츠센터)",032-813-8338,126.681403,37.41327765,연수동
372,한의원,365송도경희한의원,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 250,251호 (송도동)",032-721-8575,126.627633,37.41050721,송도동
373,한의원,경희랜드마크한의원,"인천광역시 연수구 랜드마크로 68, 222,223,224,225,228,229호 (송도동, 랜드마크시티센트럴더샵)",032-814-7575,126.6212329,37.41563898,송도동
374,한의원,박병선한의원,"인천광역시 연수구 해돋이로120번길 16 (송도동, 송도풍림아이원2단지아파트)",032-814-1075,126.6523864,37.39483785,송도동
375,한의원,세명한의원,인천광역시 연수구 샘말로62번길 20 (연수동),032-814-6288,126.680583,37.41323862,연수동
376,한의원,사암명인한의원,"인천광역시 연수구 앵고개로254번길 23, 1층 (동춘동)",032-815-1023,126.6710382,37.40725918,동춘동
377,한의원,해인당한의원,인천광역시 연수구 함박뫼로 68 (연수동),032-817-3111,126.675126,37.42252518,연수동
378,한의원,경희한의원,"인천광역시 연수구 선학로 101, 201,202호 (선학동, 뉴서울상가)",032-813-7582,126.7006293,37.42505293,선학동
379,한의원,동의보감한의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, BYC빌딩)",032-815-9494,126.6762619,37.41364664,연수동
380,한의원,성성한의원,"인천광역시 연수구 용담로 115, 7층 (연수동, 파크타워)",032-817-0474,126.6778155,37.41511405,연수동
381,한의원,몸바로한의원,"인천광역시 연수구 인천타워대로 251, 홀리데이 인 인천송도호텔 호텔동 201호 (송도동)",032-818-1175,126.6328662,37.39313335,송도동
382,한의원,하나한의원,인천광역시 연수구 앵고개로264번길 30-4 (동춘동),032-814-6656,126.6718238,37.40682032,동춘동
383,한의원,남송한의원,인천광역시 연수구 먼우금로 88 (동춘동),032-818-9911,126.670366,37.40673078,동춘동
384,한의원,동인당한의원,인천광역시 연수구 앵고개로 256 (동춘동),032-818-1731,126.6720178,37.40783029,동춘동
385,한의원,김규식한의원,인천광역시 연수구 비류대로 429 (연수동),032-818-5131,126.6825029,37.42440707,연수동
386,한의원,신농씨한의원,인천광역시 연수구 먼우금로188번길 12 (연수동),032-819-1075,126.6765063,37.41341039,연수동
387,한의원,유승엽한의원,"인천광역시 연수구 앵고개로264번길 18 (동춘동, 정방빌딩)",032-819-9996,126.672156,37.40708764,동춘동
388,한의원,본디올경희한의원,인천광역시 연수구 앵고개로 250 (동춘동),032-818-1075,126.6715059,37.40818455,동춘동
389,한의원,둘리한의원,"인천광역시 연수구 앵고개로246번길 10, 5층 (동춘동, 대산프라자)",032-819-2279,126.6706046,37.40841618,동춘동
390,한의원,제중한의원,"인천광역시 연수구 원인재로 180, 307호 (연수동, 우성상가)",032-819-8889,126.6855598,37.41301342,연수동
391,한의원,새생명한의원,"인천광역시 연수구 용담로 11, 207호 (청학동, 시대아파트상가)",032-821-1075,126.6691275,37.42147906,청학동
392,한의원,우소세강한의원,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) A동 2층 8호 (동춘동)",032-822-5757,126.6728198,37.40697151,동춘동
393,한의원,다산한의원,"인천광역시 연수구 학나래로118번길 9, 209, 210호 (선학동, 선학프라자)",032-818-7582,126.6984687,37.42799023,선학동
394,한의원,센트럴숲한의원,"인천광역시 연수구 송도국제대로 261, 2층 (송도동, 송도 더샵 센트럴시티)",032-821-1175,126.6531653,37.37435195,송도동
395,한의원,경희나라한의원,"인천광역시 연수구 청능대로 93, 5층 (청학동)",032-821-7582,126.6756664,37.41431941,청학동
396,한의원,하얀마음한의원,"인천광역시 연수구 먼우금로 194, 2층 (연수동)",032-822-7003,126.6769905,37.41433314,연수동
397,한의원,김상호한의원,"인천광역시 연수구 컨벤시아대로130번길 14 (송도동, 송도 메디컬타워)",032-831-1022,126.6448883,37.392955,송도동
398,한의원,동춘당한의원,"인천광역시 연수구 앵고개로264번길 10-1, 아촌빌딩 2층 (동춘동)",032-821-0070,126.6722791,37.40719577,동춘동
399,한의원,스마일한의원,"인천광역시 연수구 앵고개로 260, 맘모스빌딩 304~313호 (동춘동)",032-822-7582,126.6722913,37.40766546,동춘동
400,한의원,봄한의원,"인천광역시 연수구 독배로 42, 2층 (옥련동)",032-831-0500,126.6449035,37.42451603,옥련동
401,한의원,지씨한의원,"인천광역시 연수구 해돋이로 168-5, 2층 (송도동, 송정프라자)",032-831-1080,126.6454458,37.39568564,송도동
402,한의원,택한의원,"인천광역시 연수구 청학로12번길 3, 2층 (청학동)",032-831-9492,126.6636561,37.42817538,청학동
403,한의원,캠퍼스타운한의원,"인천광역시 연수구 송도과학로27번길 55, A동 301, 302호 (송도동, 캠퍼스타운애비뉴상가)",032-822-1075,126.6642625,37.38803691,송도동
404,한의원,울림한의원,"인천광역시 연수구 해돋이로 168-2, 307호 (송도동)",032-831-3652,126.6456783,37.3950122,송도동
405,한의원,편안한한의원,"인천광역시 연수구 신송로 122, 송도프라자 310호 (송도동)",032-831-2375,126.6524353,37.39581436,송도동
406,한의원,달임채한의원,"인천광역시 연수구 인천타워대로54번길 3, 메트로프라자 305호 (송도동)",032-832-0675,126.6456371,37.37853419,송도동
407,한의원,인아당한의원,"인천광역시 연수구 신송로125번길 13, 아크리아 409호 (송도동)",032-832-4811,126.6511829,37.39456511,송도동
408,한의원,센트럴파크 한의원,"인천광역시 연수구 인천타워대로 257, 아트포레 415,416호 (송도동)",032-831-1075,126.6321878,37.39351506,송도동
409,한의원,원당한의원,"인천광역시 연수구 해돋이로 161, 204호 (송도동, 세종프라자)",032-832-1075,126.6453716,37.39450703,송도동
410,한의원,옥련한의원,인천광역시 연수구 한진로25번길 4 (옥련동),032-832-2500,126.6477523,37.42494672,옥련동
411,한의원,서명원한의원,인천광역시 연수구 한나루로 182 (옥련동),032-833-0658,126.6564962,37.42548625,옥련동
412,한의원,주행경희한의원,인천광역시 연수구 청량로 188 (옥련동),032-834-0675,126.6530047,37.42350986,옥련동
413,한의원,인천송도리아한의원,"인천광역시 연수구 해돋이로 107, 58~60호 (송도동, 더샵퍼스트월드h동)",032-831-4975,126.648814,37.38960595,송도동
414,한의원,청송한의원,"인천광역시 연수구 독배로 55, 3층 (옥련동)",032-833-7581,126.6443501,37.42567206,옥련동
415,한의원,경희약손한의원,"인천광역시 연수구 비류대로256번길 8-14, 1층 (청학동, 청학프라자)",032-833-1075,126.6626939,37.42667233,청학동
416,한의원,백록담한의원,"인천광역시 연수구 컨벤시아대로 81 (송도동, 드림시티 325호, 326호)",032-851-1075,126.6501653,37.39494268,송도동
417,한의원,지인한의원,"인천광역시 연수구 컨벤시아대로 69, 307호 (송도동, 밀레니엄프라자)",032-834-1075,126.6509557,37.39571542,송도동
418,한의원,해아림한의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 507호 (송도동)",032-832-7510,126.64915,37.39716984,송도동
419,한의원,고려한의원,인천광역시 연수구 독배로40번길 47 (옥련동),032-834-1110,126.6475313,37.42460261,옥련동
420,한의원,송도함소아한의원,"인천광역시 연수구 해돋이로 107, H동 69,70호 (송도동, 더샵퍼스트월드상가)",032-835-7582,126.648814,37.38960595,송도동
421,한의원,제일한의원,"인천광역시 연수구 한진로 23, 2층 (옥련동, 로얄프라자)",032-833-8875,126.6478392,37.42466432,옥련동
422,한의원,청담한의원,"인천광역시 연수구 신송로 121, 401호 (송도동, 센타프라자)",032-851-7527,126.6518858,37.3953922,송도동
423,한의원,소통부부한의원,"인천광역시 연수구 신송로 164, 501호 (송도동)",032-858-3375,126.6488325,37.39820953,송도동
424,한의원,화평한의원,"인천광역시 연수구 독배로40번길 11, 효명프라자 601호 (옥련동)",032-851-8300,126.6456358,37.42452763,옥련동
425,한의원,코스비한의원,"인천광역시 연수구 해돋이로 116, 3층 (송도동, 센트럴프라자)",032-851-7582,126.6497645,37.392215,송도동
426,한의원,사랑한의원,"인천광역시 연수구 독배로40번길 29, 202호 (옥련동)",032-859-3800,126.6465752,37.42450107,옥련동
427,한의원,어울림한의원,"인천광역시 연수구 신송로125번길 7, 301-1호 (송도동, 이리옴프라자)",032-858-8275,126.6515588,37.39494818,송도동
428,한의원,이솜한의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 2층 207호 (송도동)",032-858-7575,126.6349141,37.38808543,송도동
429,한의원,둘리옥련한의원,"인천광역시 연수구 독배로40번길 35, 5층 (옥련동, 대명상가)",032-851-2275,126.6468293,37.42462008,옥련동
430,한의원,송도본한의원,"인천광역시 연수구 해돋이로 165, 차오름 프라자 3층 303호 (송도동)",032-859-1919,126.6450899,37.39474475,송도동
431,한의원,송도단비한의원,"인천광역시 연수구 센트럴로 194, C2동 216,217호 (송도동, 더샵 센트럴파크2)",032-858-1075,126.6418738,37.39378585,송도동
432,한의원,더경희한의원,"인천광역시 연수구 해돋이로 168-2, 306호 (송도동)",032-862-4599,126.6456783,37.3950122,송도동
433,한의원,경희다인한의원,"인천광역시 연수구 인천타워대로54번길 9 (송도동,에몬스프라자빌딩 3층 304호)",032-859-5544,126.6459726,37.37898729,송도동
434,한의원,스마트한의원,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 (송도동)",070-4680-7060,126.6490966,37.36728943,송도동
